Team,Name,Division,Wins,City,State
ATL,Atlanta Hawks,Southeast,60,Atlanta,Georgia
BOS,Boston Celtics,Atlantic,40,Boston,Massachusetts
BRK,Brooklyn Nets,Atlantic,38,Brooklyn,New York
CHI,Chicago Bulls,Central,50,Chicago,Illinois
CHO,Charlotte Hornets,Southeast,33,Charlotte,North Carolina
CLE,Cleveland Cavaliers,Central,53,Cleveland,Ohio
DAL,Dallas Mavericks,Southwest,50,Dallas,Texas
DEN,Denver Nuggets,Northwest,30,Denver,Colorado
DET,Detroit Pistons,Central,32,Detroit,Michigan
GSW,Golden State Warriors,Pacific,67,San Francisco,California
HOU,Houston Rockets,Southwest,56,Houston,Texas
IND,Indiana Pacers,Central,38,Indianapolis,Indiana
LAC,Los Angeles Clippers,Pacific,56,Los Angeles,California
LAL,Los Angeles Lakers,Pacific,21,Los Angeles,California
MEM,Memphis Grizzlies,Southwest,55,Memphis,Tennessee
MIA,Miami Heat,Southeast,37,Miami,Florida
MIL,Milwaukee Bucks,Central,41,Milwaukee,Wisconsin
MIN,Minnesota Timberwolves,Northwest,16,Minneapolis,Minnesota
NOP,New Orleans Pelicans,Southwest,45,New Orleans,Louisiana
NYK,New York Knicks,Atlantic,17,New York City,New York
OKC,Olkahoma City Thunder,Northwest,45,Oklahoma City,Oklahoma
ORL,Orlando Magic,Southeast,25,Orlando,Florida
PHI,Philadelphia 76ers,Atlantic,18,Philadelphia,Pennsylvania
PHO,Phoenix Suns,Pacific,39,Phoenix,Arizona
POR,Portland Trail Blazers,Northwest,51,Portland,Oregon
SAC,Sacramento Kings,Pacific,29,Sacramento,California
SAS,San Antonio Spurs,Southwest,55,San Antonio,Texas
TOR,Toronto Raptors,Atlantic,49,Toronto,Ontario
UTA,Utah Jazz,Northwest,38,Salt Lake City,Utah
WAS,Washington Wizards,Southeast,46,Washington,D.C.
